model,datase,threshold,precision,recall,f1
microsoft/codebert-base,kamino,0.75,0.9840925524222705,0.8227707808564232,0.8962300389617517
microsoft/codebert-base,kamino,0.85,0.9840553125440948,0.7026700251889169,0.819891841053374
microsoft/codebert-base,kamino,0.95,0.9767168391345249,0.4184382871536524,0.5858785356563448
