model,context,refac,strategy,N_0,N_1,N_2,N_3,N_5,efficiency,S_codebleu,S_tests,S_reprompt,S_final
gpt-oss:20b,test,"refac_3,refac_5,refac_7",zero-shot,927,38,24,0.0,10,0.0108,0.041,0.6316,0.0,0.4167
gpt-oss:20b,code,"refac_2,refac_4,refac_6",zero-shot,323,40,9,0.0,3,0.0093,0.1238,0.225,0.0,0.3333
gpt-oss:20b,code,"refac_1,refac_4,refac_5",zero-shot,927,201,23,1.0,8,0.0086,0.2168,0.1144,0.0435,0.3333
gpt-oss:20b,ast,"refac_2,refac_6,refac_7",cot,927,145,37,0.0,8,0.0086,0.1564,0.2552,0.0,0.2162
gpt-oss:20b,code,"refac_2,refac_5,refac_6",zero-shot,927,232,13,0.0,8,0.0086,0.2503,0.056,0.0,0.6154
gemma3:latest,ast,"refac_1,refac_3,refac_4",cot,926,555,105,6.0,7,0.0076,0.5994,0.1892,0.0571,0.0631
llama3.1:latest,ast,"refac_1,refac_3,refac_7",zero-shot,927,439,106,2.0,7,0.0076,0.4736,0.2415,0.0189,0.0648
gemma3:latest,complete,"refac_1,refac_3,refac_7",cot,919,283,140,1.0,7,0.0076,0.3079,0.4947,0.0071,0.0496
gemma3:latest,ast,"refac_2,refac_4,refac_6",zero-shot,927,738,111,1.0,6,0.0065,0.7961,0.1504,0.009,0.0536
gemma3:latest,code,"refac_2,refac_4,refac_6",cot,927,464,101,1.0,6,0.0065,0.5005,0.2177,0.0099,0.0588
gemma3:latest,ast,"refac_3,refac_5,refac_7",cot,926,503,96,5.0,5,0.0054,0.5432,0.1909,0.0521,0.0495
gpt-oss:20b,ast,"refac_2,refac_5,refac_6",cot,927,317,23,0.0,5,0.0054,0.342,0.0726,0.0,0.2174
gpt-oss:20b,ast,"refac_3,refac_5,refac_7",zero-shot,927,61,11,0.0,5,0.0054,0.0658,0.1803,0.0,0.4545
gpt-oss:20b,ast,"refac_2,refac_6,refac_7",zero-shot,927,48,11,0.0,5,0.0054,0.0518,0.2292,0.0,0.4545
gpt-oss:20b,ast,"refac_2,refac_5,refac_6",zero-shot,927,203,6,0.0,4,0.0043,0.219,0.0296,0.0,0.6667
gpt-oss:20b,code,"refac_2,refac_6,refac_7",zero-shot,927,21,5,0.0,2,0.0022,0.0227,0.2381,0.0,0.4
