model,train_dataset,test_dataset,lan,pairs,threshold,precision,recall,f1,mcc,TP,TN,FP,FN
Salesforce/codet5-base,Kamino,GPTCloneBench,java,14192,0.8,0.9745934959349594,0.6757328072153326,0.7981025299600533,0.691429042800996,4795,6971,125,2301
Salesforce/codet5-base,Kamino,GPTCloneBench,csharp,9816,0.8,0.9948546436840752,0.7878973105134475,0.8793632745878341,0.8013535972802863,3867,4888,20,1041
Salesforce/codet5-base,GPTCloneBench,Kamino,python,18072,0.8,0.9536650774731824,0.7083886675520141,0.8129286258572518,0.6974324544269301,6401,8725,311,2635
Salesforce/codet5-base,Kamino,SemanticCloneBench,python,2000,0.8,0.9702276707530648,0.554,0.7052832590706556,0.5944839270579946,554,983,17,446
Salesforce/codet5-base,Kamino,SemanticCloneBench,java,1992,0.8,0.9923857868020304,0.392570281124498,0.5625899280575539,0.4889846511756187,391,993,3,605
Salesforce/codet5-base,Kamino,SemanticCloneBench,csharp,1870,0.8,0.990632318501171,0.4524064171122994,0.6211453744493393,0.5337856815048646,423,931,4,512
Salesforce/codet5-base,SemanticCloneBench,Kamino,python,18072,0.8,0.9547043865225684,0.6647853032315184,0.783794363256785,0.6646313937736441,6007,8751,285,3029
microsoft/codebert-base,Kamino,GPTCloneBench,python,5640,0.6,0.9632120253164556,0.8634751773049646,0.9106207928197456,0.8349847847739946,2435,2727,93,385
microsoft/codebert-base,Kamino,GPTCloneBench,java,14192,0.6,0.9579754601226994,0.8802142051860203,0.9174500587544064,0.8443873222102987,6246,6822,274,850
microsoft/codebert-base,Kamino,GPTCloneBench,csharp,9816,0.6,0.9896907216494846,0.9193154034229828,0.9532058730326396,0.9120479648934544,4512,4861,47,396
microsoft/codebert-base,GPTCloneBench,Kamino,python,18072,0.6,0.8885787652115664,0.8808100929614874,0.8846773745345413,0.7703924361520201,7959,8038,998,1077
microsoft/codebert-base,Kamino,SemanticCloneBench,python,2000,0.6,0.9521800281293952,0.677,0.7913500876680305,0.671660353792592,677,966,34,323
microsoft/codebert-base,Kamino,SemanticCloneBench,java,1992,0.6,0.9671641791044776,0.6506024096385542,0.7779111644657863,0.6651524640886567,648,974,22,348
microsoft/codebert-base,Kamino,SemanticCloneBench,csharp,1870,0.6,0.9950819672131148,0.6491978609625668,0.7857605177993527,0.688948483568016,607,932,3,328
microsoft/codebert-base,SemanticCloneBench,Kamino,python,18072,0.6,0.8672203645777155,0.8897742363877822,0.878352542743213,0.7537963551157042,8040,7805,1231,996
Salesforce/codet5-base,Kamino,GPTCloneBench,python,5640,0.6,0.8886881098662812,0.8719858156028368,0.8802577411848935,0.7629007077965005,2459,2512,308,361
Salesforce/codet5-base,Kamino,GPTCloneBench,java,14192,0.6,0.9345345345345344,0.8771138669673055,0.9049142192497818,0.8172148544891602,6224,6660,436,872
Salesforce/codet5-base,Kamino,GPTCloneBench,csharp,9816,0.6,0.9820618111087096,0.925835370823146,0.953120083901416,0.9104175860033696,4544,4825,83,364
Salesforce/codet5-base,GPTCloneBench,Kamino,python,18072,0.6,0.8658667238054425,0.8944223107569721,0.8799129014697877,0.7562768127075173,8082,7784,1252,954
Salesforce/codet5-base,Kamino,SemanticCloneBench,python,2000,0.6,0.9053892215568864,0.756,0.8239782016348773,0.6864082082229935,756,921,79,244
Salesforce/codet5-base,Kamino,SemanticCloneBench,java,1992,0.6,0.957957957957958,0.6405622489959839,0.7677496991576414,0.6491139736292199,638,968,28,358
