model,train_dataset,test_dataset,lan,pairs,threshold,precision,recall,f1,mcc,TP,TN,FP,FN
microsoft/codebert-base,Kamino-LD,GPTCloneBench,csharp,9816,0.5,0.987265415549598,0.9003667481662592,0.9418158567774936,0.8922159726254595,4419,4851,57,489
Salesforce/codet5-base,Kamino-LD,GPTCloneBench,csharp,9816,0.5,0.9903492647058824,0.8781581092094539,0.9308855291576674,0.8752348904059185,4310,4866,42,598
microsoft/codebert-base,Kamino-LD,GPTCloneBench,java,14192,0.5,0.971004942339374,0.830608793686584,0.8953364727327966,0.8143635237743092,5894,6920,176,1202
microsoft/codebert-base,Kamino-LD,GPTCloneBench,python,5640,0.5,0.9800779558250324,0.8024822695035461,0.8824332228504581,0.7994041717174671,2263,2774,46,557
Salesforce/codet5-base,Kamino-LD,GPTCloneBench,java,14192,0.5,0.9718924581005588,0.7845264937993236,0.8682158452900811,0.77640211425995,5567,6935,161,1529
Salesforce/codet5-base,Kamino-LD,GPTCloneBench,python,5640,0.5,0.9799635701275046,0.7631205673758865,0.8580542264752792,0.7665188992432506,2152,2776,44,668
Salesforce/codet5-base,Kamino-LD,SemanticCloneBench,csharp,1870,0.5,0.9895287958115184,0.6064171122994653,0.7519893899204244,0.6507520759703658,567,929,6,368
microsoft/codebert-base,Kamino-LD,SemanticCloneBench,csharp,1870,0.5,0.9825479930191972,0.6021390374331551,0.7466843501326259,0.6414721889690058,563,925,10,372
microsoft/codebert-base,Kamino-LD,SemanticCloneBench,python,2000,0.5,0.979557069846678,0.575,0.7246376811594203,0.6181847159156896,575,988,12,425
Salesforce/codet5-base,Kamino-LD,SemanticCloneBench,python,2000,0.5,0.9787234042553192,0.552,0.7058823529411765,0.6000355587163616,552,988,12,448
microsoft/codebert-base,Kamino-LD,SemanticCloneBench,java,1992,0.5,0.9698681732580038,0.5170682730923695,0.6745252128356255,0.5665368677559173,515,980,16,481
Salesforce/codet5-base,Kamino-LD,SemanticCloneBench,java,1992,0.5,0.9825242718446602,0.5080321285140562,0.6697551290536069,0.5698525900764034,506,987,9,490
